username,gender,age_group,location,member_since,cities,contributions,level,stars1,stars2,stars3,stars4,stars5,tags
smS4662GV,,,Mumbai-India,2011,62,137,6,1,2,17,48,71,[]
Thesmallsmith,,,London-United Kingdom,2014,10,15,3,0,3,0,5,7,[]
charlesw330,,,Droitwich-United Kingdom,2014,7,8,2,0,2,0,0,6,[]
virginiarcs,woman,18-24,Faro-Portugal,2014,11,25,4,1,0,7,3,14,[]
Mathewalampally,man,35-49,Kochi (Cochin)-India,2013,40,199,6,0,7,57,114,21,[]
safar,,,Vancouver,2004,81,108,6,0,6,25,56,24,[]
maleboalicem,,,,2014,3,9,2,0,0,3,6,0,[]
swizljager,,,Auckland Central-New Zealand,2012,99,6,3,0,0,0,0,6,[]
KrazyKatTraveler,woman,35-49,Washington DC-District of Columbia,2010,7,12,3,1,0,0,1,10,[]
LiaMaraPinto,,,Mozambique,2012,20,59,5,0,0,2,5,52,[]
Avitalp3,woman,50-64,Nahariya-Israel,2012,178,374,6,8,16,51,167,142,"['Vegetarian', 'Urban Explorer', 'Like a Local', 'Nightlife Seeker']"
kielihoog,,,,2016,6,13,3,1,0,0,2,10,[]
patrickaU4671EX,,,Copenhagen-Denmark,2015,11,25,4,0,0,2,5,18,[]
195kareny,,,Dover-United Kingdom,2017,30,32,4,1,0,3,3,26,[]
dave47D,,,March-United Kingdom,2016,9,29,4,1,1,3,6,19,[]
Warren007,,,Centurion-South Africa,2012,6,16,3,0,0,2,0,14,[]
Allkuans,man,35-49,Singapore-Singapore,2012,144,290,6,19,25,42,58,151,[]
aglvos,man,35-49,Düsseldorf,2010,129,94,5,3,5,11,25,50,[]
CarlS955,,,Hot Springs-Arkansas,2012,59,44,5,1,1,4,19,26,"['Thrill Seeker', 'Beach Goer', 'Family Vacationer']"
patrickmjack,Man,,New Orleans,2017,10,21,4,0,0,0,5,17,[]
Freedom744513,,,,2017,2,7,2,1,0,1,1,6,[]
Joshwaa1,,,Edinburgh-United Kingdom,2017,7,13,3,0,0,1,5,8,[]
dianel103,,,Lake Placid-Florida,2015,91,228,6,0,5,6,72,149,[]
survivingwith,,,Melbourne-Victoria-Australia,2012,10,15,3,0,1,0,2,14,[]
PittsburghBambi,,,Pittsburgh,2010,55,173,6,1,3,12,63,96,[]
alexaa2345,,,,2019,34,65,5,1,1,1,17,46,[]
RockProfessor,,,Memphis-Tennessee,2015,37,62,5,0,1,9,25,27,"['Urban Explorer', 'History Buff', 'Nature Lover', 'Peace and Quiet Seeker']"
donnaleigh27,,,Melbourne-Australia,2011,3,4,2,1,0,0,0,5,[]
890dennise,Man,,Boynton Beach-Florida,2015,10,8,3,1,0,0,2,7,[]
mttaylor9,,,Baltimore-Maryland,2004,271,750,6,6,14,111,329,306,[]
JohnDoe1977NWH,,,Noordwijk-The Netherlands,2015,42,92,6,1,5,24,27,36,[]
zettavili,,,Central Greece-Greece,2019,3,3,1,0,0,0,0,3,[]
leedjjck,,,East Hampton-Connecticut,2013,154,533,6,2,1,29,276,238,[]
Idan1382,man,35-49,Ramat Gan-Israel,2012,206,42,5,2,2,7,8,30,"['Art and Architecture Lover', 'Like a Local', 'History Buff', 'Thrifty Traveler']"
pbeth45,,,Roanoke-Virginia,2013,131,15,3,0,0,0,4,12,[]
keithhQ4531WB,Man,,Lakeland-Florida,2015,189,389,6,1,8,62,176,153,[]
JanisN123,,,Crown Point-Indiana,2009,122,234,6,0,3,18,25,189,[]
Max_Luca_Porto,woman,50-64,Porto-Portugal,2008,380,211,6,3,10,41,75,91,[]
belladonna01,woman,25-34,Middle Park-Australia,2007,157,177,6,0,4,24,63,86,[]
technosavvy,woman,50-64,Franklin-North Carolina,2010,23,45,4,0,4,5,8,29,[]
malakaraj,,,,2019,,,,,,,,,[]
KKWalter,,,Cincinnati-Ohio,2012,121,77,5,2,10,11,15,40,[]
amyc437,,,Connecticut,2014,29,89,5,10,4,6,13,59,[]
hkasa,,,,2014,5,8,2,2,0,1,1,5,[]
Picto_Leng,man,50-64,Cambridge-United Kingdom,2010,251,43,5,3,5,6,15,14,[]
aneela26,,,,2019,60,256,6,0,4,13,10,232,[]
gam0rri,,,Millersville-Maryland,2018,11,17,3,0,1,2,1,13,[]
hoyingw,,,,2018,11,22,5,2,1,1,10,8,[]
11KLA,,,,2013,7,4,2,0,0,0,1,3,[]
PaulK41,,,Burleigh Heads-Australia,2012,155,42,4,2,2,1,9,28,[]
Steve_Sartori_2004,man,50-64,Plymouth-WI,2004,57,44,5,0,0,1,6,39,[]
diannachayden,,,Pensacola-Florida,2012,269,141,6,1,5,12,40,86,"['Art and Architecture Lover', 'Urban Explorer', 'Nature Lover', 'Beach Goer']"
luvbk11221,,,Brooklyn-New York,2005,17,43,4,0,1,6,17,20,[]
C-Liz1,,,Toronto-Canada,2010,444,116,6,3,9,31,47,27,[]
dfaulconbridge,,,Manchester-United Kingdom,2016,7,8,2,0,1,2,0,6,[]
Y3147SFbrianb,,,Beckley-WV-United States,2015,12,18,3,0,0,0,1,19,[]
577bigdaddy,man,50-64,Hillsborough-North Carolina,2012,41,69,5,3,3,6,24,34,"['Foodie', 'Like a Local', 'History Buff', 'Beach Goer']"
Londonishome,,,London-United Kingdom,2016,7,13,3,1,0,0,1,11,[]
hilmill,Woman,,Chicago-Illinois,2016,59,223,6,2,0,36,70,120,[]
Kevv_heathh,,,Sydney-Australia,2019,11,22,4,0,0,0,9,15,[]
Crazy_flash,,,Brisbane-Australia,2018,30,118,6,3,3,11,51,78,[]
jefflC6195OD,,,Elgin-Illinois,2015,157,91,6,1,8,18,37,31,"['Art and Architecture Lover', 'Urban Explorer', 'Like a Local', 'History Buff']"
dobingbrowne,man,,Parrearra-Australia,2014,53,109,6,0,0,21,57,36,[]
Dundasmom,woman,50-64,Dundas-Canada,2010,54,154,6,1,0,2,30,122,[]
geminigemini,woman,50-64,Victoria-BC,2006,487,150,6,2,4,22,69,54,[]
Tindufi,,,,2017,7,19,4,0,3,1,0,15,[]
devnprt1,man,,Las Vegas-Nevada,2013,179,454,6,4,8,31,102,317,[]
rhealey007,,,Charlotte-North Carolina,2016,52,96,6,1,4,11,25,56,[]
476shannond,,,Centurion-South Africa,2012,29,52,5,1,3,8,10,31,[]
Archimedes_and_pals,,,College Station-Texas,2019,4,12,3,0,0,1,4,7,[]
RueMU,,,Lancaster-Pennsylvania,2016,58,127,6,0,10,21,43,58,[]
767vanessad,,,Maitland-Australia,2013,19,27,4,3,0,4,5,16,[]
Mjkksheridan,,,Huntington-West Virginia,2018,22,38,4,0,0,0,9,30,[]
nesha6,,,London-United Kingdom,2017,15,35,4,1,1,8,7,19,[]
worldtravelerFourDot,man,25-34,Munich-Germany,2010,351,97,6,8,2,9,13,65,[]
jpcheshire1615,man,50-64,Alderley Edge-United Kingdom,2010,196,218,6,2,3,26,51,137,[]
CarreraPorsche,,,New York City-New York,2012,470,198,6,7,18,33,51,89,"['Art and Architecture Lover', 'Foodie', 'Urban Explorer', 'Like a Local']"
bfreshley,,,Mount Pleasant-South Carolina,2015,,3,1,0,0,0,1,2,[]
LnS2004,,,Cypress-California,2013,166,641,6,1,6,171,328,152,[]
257zoe,woman,18-24,Norwich-United Kingdom,2017,87,103,6,0,3,22,18,62,[]
Jlouiissee,,,,2019,,3,1,0,0,1,0,2,[]
thebluedoors,man,50-64,United Kingdom,2011,19,98,6,9,3,4,8,78,[]
AliJson,,,,2019,2,3,1,0,0,0,0,3,[]
461brada,,,South Jordan-Utah,2015,7,9,3,1,1,1,1,5,[]
allthecrap,,,Canton of Zurich-Switzerland,2015,308,597,6,25,54,75,136,320,[]
Gumus,Woman,,Mediterranean,2008,25,77,6,3,1,7,15,51,[]
zevald,man,50-64,Palos Verdes Estates-California,2010,72,73,6,0,0,5,23,46,[]
LukeSmart98,,,,2019,,6,2,0,0,1,1,4,[]
zoetbla85,,,,2019,3,4,1,0,0,0,1,3,[]
bikerbabe22,,,Milton-Canada,2011,269,404,6,2,3,12,67,330,[]
Brunoiivana,man,35-49,Turku-Finland,2009,167,242,6,7,27,61,85,63,[]
TMK901,man,50-64,Monte-Carlo-Monaco,2014,153,007,6,1,9,103,492,414,[]
Corinne028,,,Melbourne,2014,9,29,4,2,2,0,7,18,[]
simonem114,,,Dublin-Ireland,2013,42,20,3,0,0,0,2,18,[]
pholiota,,,Mississauga-Canada,2017,4,6,2,0,0,0,0,6,[]
kettz,,,,2013,11,14,3,2,0,1,5,8,[]
219SusanOttah,Woman,,Horley-United Kingdom,2013,21,35,4,1,1,1,1,32,[]
ramonl826,,,Queens-New York,2015,50,148,6,0,1,2,8,145,[]
renaefranklin2908,,,Sydney-Australia,2018,4,8,3,0,0,0,7,4,[]
neimaht,,,West Orange-New Jersey,2015,8,10,3,0,0,1,1,8,[]
tonytCruiseshipCent,,,Lawrenceville-Georgia,2016,3,5,2,0,0,0,0,5,[]
lucyl748,woman,50-64,Colchester-United Kingdom,2012,47,87,6,0,1,11,34,44,[]
maybaroudy,,,Emirate of Dubai-United Arab Emirates,2015,3,4,1,0,0,1,1,2,[]
sunlovers616,,,Toronto-Canada,2013,12,15,3,0,0,1,4,11,[]
brianmH631UM,,,Grantham-United Kingdom,2011,57,103,6,0,4,16,53,33,[]
H4930NWlisac,,,,2019,2,3,1,0,0,0,0,3,[]
alexwoldt,,,Chiang Mai-Thailand,2019,6,15,3,0,0,0,0,15,[]
kurosdwenodaine,,,,2016,9,16,4,0,0,1,7,8,[]
Celes2011,,,Pittsburgh-Pennsylvania,2011,7,10,3,0,0,4,3,8,[]
paulbR1618KL,,,,2019,3,3,1,0,0,0,0,3,[]
holidayfan55,man,50-64,Romford Essex,2009,152,301,6,14,12,35,90,152,[]
LESBET,,,,2019,8,8,3,0,0,0,4,9,[]
Danny_Zam,man,35-49,Kitwe-Zambia,2009,36,73,5,4,6,4,27,34,[]
TonyTPsycho,,,,2016,,,,,,,,,[]
H4054DXjulie,,,Sydney-Australia,2014,18,33,4,4,0,2,2,28,[]
Nidhi915,Woman,,Philadelphia-Pennsylvania,2018,46,14,3,0,0,0,1,14,[]
Heckster67,,,Edmonton-Canada,2016,23,58,5,1,4,4,13,38,[]
ElizabethLilly,woman,25-34,New York City-New York,2010,86,164,6,1,4,21,63,79,[]
Nomad45729223353,,,,2019,,,,,,,,,[]
OriginalBrew,,,Singapore,2014,23,48,5,0,0,4,18,27,[]
Kenpasha,,,Bellingham-Washington,2015,305,474,6,1,7,165,215,86,"['Art and Architecture Lover', 'Foodie', 'Like a Local', 'History Buff']"
sharrongeg,woman,50-64,Henderson-Nevada,2012,359,564,6,7,75,312,505,670,[]
Bluegrassmom58,,,Versailles-Kentucky,2010,36,34,4,1,2,3,6,22,[]
227renad,,,,2015,159,17,3,0,0,3,3,12,[]
kattmoments,woman,25-34,Melbourne-Australia,2014,10,14,3,0,0,0,1,13,[]
jxblanco1,,,Miami-Florida,2016,69,104,6,1,3,10,30,61,[]
JeffP280,man,35-49,Austin-Texas,2011,19,31,4,0,0,0,2,29,[]
T6725QIjohng,man,,London-United Kingdom,2014,57,190,6,0,0,20,79,91,[]
FIREtraveler4730,,,Chapel Hill-North Carolina,2019,29,59,5,1,1,8,16,33,[]
cutiscar,woman,50-64,Melbourne-Australia,2015,22,62,5,4,1,12,13,47,[]
Ikseibos,,,Brisbane-Australia,2017,,,,,,,,,[]
KarenLillywhite,,,Bristol-United Kingdom,2015,4,9,3,0,0,0,1,8,[]
PapaTours,,,Kinnelon-New Jersey,2012,28,59,5,0,0,3,16,40,[]
Tibyss,,,Cluj-Napoca-Romania,2012,12,11,3,3,0,0,4,4,[]
Praveenk2008,man,25-34,Mumbai-India,2010,107,189,6,0,5,23,70,96,[]
nick164,man,25-34,Sydney-Australia,2007,328,986,6,4,101,195,454,242,[]
5aural,,,,2015,26,95,6,3,13,18,43,27,[]
margaretsU9120NK,,,Oxfordshire-United Kingdom,2015,7,19,3,0,0,0,2,17,[]
Wiseohio,,,Greenville-Ohio,2009,3,4,3,0,0,0,0,4,[]
RaysView,,,Birmingham-United Kingdom,2014,48,99,6,0,1,7,35,58,[]
curtb763,,,Jersey Village-Texas,2016,24,29,4,0,2,5,12,10,[]
Denis7299,,,Ottawa-Canada,2017,16,29,4,1,0,1,6,26,[]
wandagold,,,London-United Kingdom,2010,81,143,6,1,0,17,41,85,[]
TheOne58,,,Weert-The Netherlands,2010,181,234,6,4,8,17,105,112,"['Urban Explorer', 'Luxury Traveler', 'Family Vacationer']"
Joyjmi,Woman,,Wassenaar-The Netherlands,2012,26,106,6,5,2,12,40,47,[]
gallivantwithme,Woman,,Leicester-United Kingdom,2016,37,27,4,0,0,2,11,14,[]
MSJet_Setter1,Woman,,Kuwait City-Kuwait,2009,50,174,6,5,2,27,81,67,[]
164dons,Man,,New Westminster-Canada,2015,136,89,5,1,0,4,68,21,[]
RogerandTracey,,,,2017,36,104,6,0,0,3,46,60,[]
sachin02,man,25-34,Surat-India,2011,80,52,5,0,2,5,19,31,"['Vegetarian', 'Foodie', 'Nightlife Seeker', 'Beach Goer']"
840avig,Man,,Guayaquil-Ecuador,2014,9,11,3,2,0,2,2,5,[]
252mattn,,,Birmingham-United Kingdom,2016,20,29,4,1,0,7,9,12,[]
globaltraveler1121,,,Phuket-Thailand,2018,14,28,4,1,1,2,9,15,[]
682elsad,,,,2019,,4,2,1,0,0,0,4,[]
AlwiAA,,,Jeddah-Saudi Arabia,2017,6,8,2,1,1,1,2,3,[]
maryi954,,,,2016,4,4,1,0,0,0,1,3,[]
NomadicaSam,,,Kingston-Jamaica,2010,59,22,4,2,2,2,4,13,[]
992mdhabiburr,,,,2019,2,4,1,0,0,0,0,4,[]
nancyhX7180LD,,,Hugoton-Kansas,2015,14,33,4,1,1,4,14,16,[]
damonmaurice,,,London-United Kingdom,2013,8,21,4,0,0,2,2,17,[]
pamiller1,woman,50-64,Coquitlam-Canada,2016,11,29,4,1,1,7,7,14,[]
Givanchi,woman,50-64,Mumbai,2009,19,43,4,0,0,0,9,36,[]
Dbarkaway,,,Braintree-United Kingdom,2019,32,95,6,1,2,7,26,68,[]
324harrisp,,,Southend-on-Sea-United Kingdom,2013,10,3,2,0,0,0,0,4,[]
BenR59,man,,Glasgow-United Kingdom,2012,112,132,6,0,6,25,52,50,[]
Simon888888,,,,2019,2,8,3,0,0,0,0,9,[]
melissawho,Woman,,Saint Louis-Missouri,2016,24,96,6,0,2,3,26,68,[]
carolinecC9888QD,woman,35-49,Gold Coast-Queensland-Australia,2013,25,41,4,0,0,3,12,26,[]
Getaway642770,,,,2016,17,39,4,2,5,5,4,24,[]
vijayk157,,,,2017,26,87,6,2,2,7,16,60,[]
suwannac2016,,,,2016,40,88,6,1,2,11,37,37,[]
DRW44,,,Salisbury-United Kingdom,2010,135,295,6,0,7,39,118,143,[]
RitaP669,,,Lincoln-United Kingdom,2012,87,208,6,4,3,25,79,101,[]
JuneJacinto,man,35-49,New York City-New York,2012,208,410,6,1,2,76,858,484,[]
danielos2,,,zoran,2011,390,26,4,2,1,3,12,8,[]
hbsurf74,Man,,Long Beach-California,2012,138,26,4,0,0,0,5,23,[]
Toni77221,,,,2019,,4,2,0,1,0,0,5,[]
BeachSeekers123,,,Louisville-Kentucky,2019,62,153,6,0,0,5,39,113,[]
787tatianap,,,,2016,5,10,3,0,0,2,1,8,[]
DannySzym,,,,2019,12,16,3,1,1,2,2,10,[]
alytravelssa,,,Chicago-Illinois,2019,10,23,4,0,1,2,2,18,[]
BugforTravel,woman,35-49,Ottawa-Canada,2009,124,74,5,3,0,8,24,39,[]
tommy8244,man,50-64,"Elkridge,MD",2008,168,163,6,1,6,41,75,40,[]
JohnStratford_Canada,man,,Stratford-Canada,2012,35,70,5,3,5,10,26,28,[]
designdane,Woman,,Sewell-New Jersey,2011,159,157,6,0,4,26,71,56,[]
elaishaley,,,Vienna-Austria,2016,32,118,6,3,1,13,24,78,[]
Y7007YVmatthewa,,,,2017,3,8,2,0,1,1,0,6,[]
Tommy2Maz,,,Jupiter-Florida,2017,15,68,5,0,1,5,11,51,[]
ErfanJ,man,25-34,Surfers Paradise-Australia,2012,140,29,4,1,1,2,1,26,[]
SB640817,man,50-64,Mumbai-India,2012,99,59,5,0,3,9,39,8,[]
X5159BUmaryw,Woman,,Charleston-South Carolina,2016,5,44,4,0,0,1,10,35,[]
Evi_Nguyen,,,Ho Chi Minh City-Vietnam,2017,9,21,4,0,1,2,6,12,[]
X8958YEpeterm,,,Invercargill-New Zealand,2016,54,219,6,5,5,27,123,72,[]
AlmahSantos,,,,2018,5,7,3,0,0,1,2,4,[]
Sockster,man,,Highlands-New Jersey,2003,397,145,6,39,52,135,562,357,"['Foodie', 'Like a Local', 'Thrill Seeker', '60+ Traveler']"
edwardr211,Man,,Greenville-Delaware-United States,2014,11,22,3,0,1,2,11,8,[]
hyousry94,,,Cairo-Egypt,2019,8,15,3,1,0,0,2,12,[]
Carioca15001906,man,,London-United Kingdom,2007,64,18,3,0,1,4,2,13,[]
Bonymerlin111,woman,35-49,Manchester-United Kingdom,2013,28,55,5,0,0,2,21,32,[]
emt0291,,,Gloucester-United Kingdom,2012,50,134,6,4,15,23,66,27,[]
Tiersha,woman,25-34,London-United Kingdom,2018,15,49,5,2,1,10,13,26,[]
CMA333,,,Troy-Michigan,2016,9,17,4,1,1,0,6,11,[]
DennyS510,,,Frankfort-Illinois,2011,557,349,6,2,2,18,91,254,[]
KazH-2013,,35-49,Bristol-United Kingdom,2012,477,143,6,1,1,24,67,53,[]
ellygan,,,San Francisco-California,2007,60,180,6,1,5,45,67,64,[]
Veronica660,Woman,,Medford-New Jersey,2013,240,508,6,1,0,1,10,520,"['Art and Architecture Lover', 'Foodie', 'Like a Local', 'Thrill Seeker']"
Regfoulds,,,Toronto-Canada,2014,8,8,3,1,0,0,5,3,[]
7Joaquin,,,Mexico City-Mexico,2019,28,92,6,0,4,9,17,62,[]
202allenw,,,Melbourne beach,2016,8,15,3,3,1,2,2,9,[]
sherryt706,,,Tallahassee-Florida,2013,10,14,3,0,0,0,1,13,[]
anitapnz,,,Northland Region-New Zealand,2014,80,26,4,1,1,1,15,10,[]
LuisGReyna,man,50-64,Greenwich-Connecticut,2011,220,232,6,0,7,36,123,69,[]
RyanS859,,,Pensacola-Florida,2012,6,9,3,1,1,0,2,5,[]
Sturell,,,Sydney-Australia,2019,17,25,4,0,0,1,2,27,[]
boyc854,,,Wollongong-Australia,2016,2,3,2,0,0,1,1,2,[]
OrganisedDinosaur,,,,2016,2,6,2,0,0,1,3,2,[]
thomascB3809XL,,,New Orleans-Louisiana,2015,82,157,6,2,5,4,30,123,[]
JoeFlynnLaPlataMD,,,,2011,407,210,6,0,5,40,104,67,[]
frankrO8970YX,Man,,Paddock Wood-United Kingdom,2018,2,5,2,0,0,3,0,3,[]
Jellyholtrop,woman,25-34,Gouda-The Netherlands,2012,156,39,5,0,1,6,15,17,"['Urban Explorer', 'Nature Lover', 'Backpacker']"
PamB683,woman,50-64,Vacaville-California,2013,16,48,4,3,3,9,18,16,[]
pkroychoudhury,man,,Chennai (Madras)-India,2017,213,149,6,2,2,31,76,39,[]
Kenbill,man,50-64,Bristol-United Kingdom,2011,23,70,5,0,1,5,10,54,[]
effie98,,,,2017,7,19,3,0,0,1,11,10,[]
Foodie592,,,North Vancouver-Canada,2013,5,11,3,1,0,1,4,6,[]
mama2leilani,,,Greenville-South Carolina,2008,22,30,4,0,0,1,4,26,[]
catherinehamel81,,,Amsterdam-The Netherlands,2018,2,9,2,0,1,2,3,3,[]
leshephe,,,Singapore-Singapore,2007,6,11,3,1,0,3,3,4,[]
sandjasmine,,,Toronto-Canada,2014,44,88,5,0,0,8,31,50,[]
Flymehigh,man,25-34,Singapore-Singapore,2008,117,230,6,1,4,22,65,145,[]
unhappycustomer151,,,Sydney-Australia,2015,52,185,6,1,8,20,67,91,[]
Expedition794931,,,,2018,4,7,3,0,0,0,0,9,[]
297gayes,,,Brisbane-Queensland-Australia,2013,6,11,3,0,0,0,0,11,[]
BriannaGoesPlaces,,,Florence-Kentucky,2018,52,214,6,0,0,5,23,188,[]
TomWandFamily,,,Suwanee-Georgia,2014,17,31,4,0,0,0,3,30,[]
847timothyr,,,,2013,67,95,6,1,1,4,37,55,[]
JohnKBales,,,,2015,22,36,4,6,3,9,7,11,[]
288albertd,,,Glendale-California,2014,38,34,4,1,0,4,2,30,[]
Raycsm,,,Singapore-Singapore,2013,5,6,3,0,0,0,1,5,[]
ashirar2016,,,Ma'alot-Tarshiha-Israel,2015,24,35,4,2,1,1,11,21,[]
RebeccaHBG,woman,25-34,Malmo-Sweden,2017,21,38,4,4,0,2,9,25,[]
imaginelle,Woman,,Sydney-Australia,2009,200,142,6,6,4,17,70,50,[]
F64VQchrist,,,,2018,7,22,3,0,2,1,3,17,[]
390vivianh,,,Great Barr-United Kingdom,2014,12,20,4,0,4,1,2,16,[]
rener668,Man,,Marlboro-New Jersey,2015,40,75,5,7,5,7,12,45,[]
Span_pro,,,Enfield-Connecticut,2010,167,91,5,0,9,14,44,25,[]
think24htravel,man,35-49,Bacau-Romania,2006,107,134,6,1,3,11,45,73,[]
barbaradN3900PJ,,,Greenvale-New York,2015,10,14,3,5,1,0,2,7,[]
772allenb,,35-49,Muskegon-Michigan,2013,423,759,6,21,64,203,298,197,[]
X4972RJthomasr,,,,2013,5,8,2,1,0,0,3,4,[]
682stewarts,Man,,Bradenton-Florida,2014,21,47,5,0,2,1,14,33,[]
Fulhamish,,,London-UK,2006,188,124,6,3,4,12,86,19,[]
bon_heineken,,,South Australia-Australia,2016,40,117,6,1,0,17,67,32,[]
ashleighzc1989,,,Dubai-United Arab Emirates,2016,6,14,3,0,0,1,3,11,[]
DavidVR84,,,Glenorie-Australia,2013,118,350,6,0,12,50,150,142,[]
T7215YQmichaelr,Man,,Westbrook-Connecticut,2015,38,91,5,1,2,9,15,68,[]
Lesvicto,,,Pooraka-Australia,2019,,,,,,,,,[]
598sallyannc,,,,2019,2,2,1,,,,,,[]
yen123,,,Johannesburg-South Africa,2010,102,107,6,2,8,17,11,69,[]
808rc,,,New York City-New York,2013,30,83,5,3,1,9,30,40,['Foodie']
340ericp,,,Tulsa-Oklahoma,2014,326,56,5,0,1,1,27,27,[]
chuckm750,Man,,Chanhassen-Minnesota,2015,40,72,5,3,5,12,14,38,[]
Skye757,woman,50-64,Vancouver-Canada,2008,195,306,6,4,20,57,138,89,"['Art and Architecture Lover', 'Foodie', 'Like a Local', 'Nature Lover']"
65lorif,,,Cobourg-Canada,2009,5,16,3,0,0,2,2,13,[]
Caylinsgranny,woman,,New Bern-North Carolina,2013,88,133,6,3,12,22,26,71,[]
rockyjoe,man,50-64,Minneapolis-Minnesota,2007,779,224,6,4,21,236,492,474,[]
sandrapZ9224WS,,,,2019,2,2,,,,,,,[]
oliviao943,,,,2018,12,18,3,2,2,1,4,9,[]
jkf_12,man,35-49,San Juan-Puerto Rico,2012,16,61,5,2,1,7,21,30,[]
Count_colin,man,50-64,Porto-Portugal,2010,87,165,6,4,5,20,39,98,[]
1proudkiwi,,,Auckland Central-New Zealand,2015,59,36,4,0,1,3,5,28,[]
angelat241,,,Singapore-Singapore,2012,19,145,6,0,0,3,110,33,[]
Eil927,,,Tuba Island-Malaysia,2009,45,25,4,0,0,0,4,22,[]
kheanab2019,Woman,,Ottawa-Canada,2019,10,24,4,0,2,3,5,19,[]
Ace32400,,,Cincinnati-Ohio,2013,121,32,4,0,0,5,7,22,[]
kylelutgen,,,arkansas,2007,49,130,6,0,0,5,12,114,[]
colombiajan,,,Saint Albans-West Virginia,2009,44,108,6,1,1,6,28,78,[]
ZwarteJoop,,,Etten-Leur-The Netherlands,2016,32,53,5,0,0,3,31,19,[]
351ulrikas,woman,35-49,Vasteras-Sweden,2015,35,143,6,1,2,12,75,58,[]
Evelyn_Barnett,,,Melbourne-Australia,2012,30,51,5,0,1,2,14,35,[]
dgogian,,,Charlottesville-United States,2017,4,4,1,0,0,0,0,4,[]
697to,,,Madison Heights-Virginia,2014,87,147,6,5,6,27,21,89,[]
mikejW840IZ,,,,2006,4,9,3,0,2,1,1,5,[]
MontherYASEEN,man,25-34,Amman-Jordan,2014,54,270,6,1,2,14,68,185,[]
Khalhasi,woman,25-34,Wiesbaden-Germany,2016,27,53,5,0,4,13,27,9,[]
AdelinaMPC,,,Greater Sydney-Australia,2013,90,73,5,1,0,4,28,46,"['Urban Explorer', 'Shopping Fanatic', 'Beach Goer', 'Luxury Traveler']"
solomonjaro,,,Beaconsfield-Australia,2018,2,3,2,0,0,0,1,2,[]
tmboc,woman,35-49,Pasadena-California,2010,71,177,6,1,1,25,94,57,[]
daveoconnor879,,,,2019,,,,,,,,,[]
gregm294,Man,,Chattanooga-Tennessee,2014,2,3,1,0,0,0,0,3,"['Foodie', 'Like a Local', 'Beach Goer', 'Trendsetter']"
bonnpritch,man,35-49,Lichfield,2009,126,130,6,0,1,8,26,96,[]
SevenoaksSinjun,man,50-64,Sevenoaks-United Kingdom,2012,361,509,6,1,7,340,916,260,"['Foodie', 'Urban Explorer', 'Like a Local', 'History Buff']"
shunky,man,35-49,Dromara-United Kingdom,2005,190,124,6,3,3,15,24,79,[]
clifnliz,,,,2019,,,,,,,,,[]
JYMIE,man,,Edmond-Oklahoma,2004,507,88,5,0,1,7,19,63,[]
twistedtadpole,,,,2014,3,6,2,0,0,0,4,2,[]
cdank16,,,,2013,33,65,5,0,0,3,47,16,[]
Travel_moore4,,,Scottsdale-Arizona,2014,177,351,6,0,3,18,161,171,[]
landerrm,,,,2014,4,5,2,0,0,0,0,5,[]
DavidTis,,,Campbell-California,2008,214,12,3,0,1,0,0,11,[]
maxwellkg,,,Boston-Massachusetts,2010,90,257,6,1,3,13,35,207,[]
inFlightFun,,,Greenville-Texas,2014,132,312,6,0,8,51,99,160,"['Foodie', 'Like a Local', 'Thrill Seeker', 'Shopping Fanatic']"
ChrisCambridge1,,,,2019,3,3,1,0,0,1,1,1,[]
madelines543,,,,2019,,,,,,,,,[]
mandybradd,,,Houston-Texas,2019,14,80,6,0,2,11,22,48,[]
rudyp599,,,Lyttelton-New Zealand,2013,27,48,5,7,5,8,12,17,[]
GabrielleRoseMaria,,,Philadelphia-Pennsylvania,2010,113,142,6,6,3,17,19,97,"['Art and Architecture Lover', 'Urban Explorer', 'Like a Local', 'History Buff']"
paulad146,,,Albany-New York,2011,10,21,4,1,1,0,1,18,[]
dahliadecay,,,Wiesbaden-Germany,2019,3,5,2,0,0,0,0,5,[]
RekhaThaker,woman,50-64,Mumbai-India,2009,309,165,6,2,1,21,55,89,[]
287nikkac,,,Winnipeg-Canada,2018,6,19,4,0,2,1,2,14,[]
theharshcritics,,,,2019,5,24,3,0,0,7,7,10,[]
OlympicFan2010,,,Berea-Ohio,2013,38,29,5,0,0,2,5,24,[]
106bettyp,,,,2016,2,6,2,0,0,0,0,6,[]
Strengthsguru,woman,50-64,Chicago-Illinois,2010,78,97,6,1,3,13,38,44,[]
789kirkf,,,,2017,2,2,1,,,,,,[]
KBSLC,,,Salt Lake City-Utah,2006,262,123,6,1,10,25,41,48,"['Art and Architecture Lover', 'Foodie', 'Like a Local', 'History Buff']"
M384KNandyc,,,Honolulu-Hawaii,2015,21,56,5,0,0,3,20,33,[]
95kimmy,woman,35-49,Slough-United Kingdom,2015,10,13,3,0,0,0,5,9,"['Urban Explorer', 'Nightlife Seeker', 'Beach Goer', 'Luxury Traveler']"
beaverrandell,,,Calgary-Canada,2018,19,28,4,0,1,4,8,16,[]
TheTravelMoniker,,,Frederick-Maryland,2013,100,416,6,8,31,96,164,128,"['Foodie', 'Urban Explorer', 'Like a Local', 'History Buff']"
Discover435314,,,,2013,2,,,,,,,,[]
