username,gender,age_group,location,member_since,cities,contributions,level,stars1,stars2,stars3,stars4,stars5,tags
223reneej,,,,2017,2,5,2,0,0,0,1,4,[]
985naomik,,,,2018,,2,,,,,,,[]
PstarTraveler,Man,,Clovis-California,2010,136,133,6,3,5,11,33,84,[]
julief213,Woman,,College Park-Maryland,2014,51,134,6,3,3,15,32,81,[]
noxioust,woman,35-49,Melbourne-Australia,2006,144,108,6,5,3,15,20,65,[]
travel_asian_513,woman,35-49,Ottawa-Canada,2015,25,63,5,1,0,2,10,50,[]
2ninac,,,Wilmington-Delaware,2014,228,201,6,0,1,22,81,101,"['Art and Architecture Lover', 'Foodie', 'Urban Explorer', 'History Buff']"
mhaurlkl,man,50-64,Cambridge-Canada,2012,320,288,6,1,9,27,146,112,[]
Reisende03,,,Friedrichshafen-Germany,2017,52,56,5,0,0,6,32,18,[]
jstonge52,woman,50-64,Highland-California,2014,19,29,4,0,0,6,6,20,[]
112romang,,,,2016,4,11,3,0,0,0,0,11,[]
marilyng673,woman,,Vulcan-Canada,2017,23,59,5,0,0,0,25,42,[]
NgceboM2,,,Cape Town-South Africa,2017,19,22,3,2,5,2,11,2,[]
cisco289,man,50-64,Darlington-South Carolina,2008,188,774,6,0,2,48,486,269,[]
AgneAgnyte1,,,,2013,8,16,4,1,0,0,2,16,[]
Stirrup0351,,,,2018,7,6,2,0,0,0,0,7,[]
109alissap,,,,2015,,2,1,,,,,,[]
ecg207,woman,50-64,Portland-Maine,2002,129,194,6,0,3,25,130,38,[]
dMusiq,,35-49,New York City-New York,2009,50,43,5,2,4,4,7,26,[]
maraig_12,,,Hamburg-Germany,2012,9,15,3,0,0,4,3,8,[]
saxbobcat,,,Bucharest-Romania,2012,115,35,6,2,0,0,2,31,[]
PCliveR,Man,,Bangor-United Kingdom,2012,215,735,6,36,62,134,265,254,[]
MMinVA1,,,Chantilly-Virginia,2010,8,5,2,0,1,0,0,4,[]
BillyOaks,man,35-49,Pacific Pines-Australia,2008,97,226,6,1,5,27,129,74,[]
luvtravel88,woman,50-64,Louisville-KY,2009,268,352,6,2,7,46,125,184,[]
Jnangel0325,,,Fort Worth-Texas,2014,5,8,3,0,0,0,0,8,[]
sharonfa,woman,25-34,Samoens-France,2009,63,18,3,2,0,2,6,8,[]
