username,gender,age_group,location,member_since,cities,contributions,level,stars1,stars2,stars3,stars4,stars5,tags,geocode
866krisr,,,Hood River-Oregon,2013,47.0,149.0,6.0,0.0,0.0,18.0,82.0,51.0,[],US
SussexSteve,man,,Worthing-United Kingdom,2007,36.0,62.0,5.0,0.0,1.0,7.0,32.0,22.0,[],GB
madaboutusa,,,Australia,2011,9.0,15.0,3.0,0.0,0.0,1.0,7.0,7.0,[],AU
twhite19,,,Wilson-New York,2010,414.0,104.0,6.0,0.0,0.0,2.0,29.0,73.0,[],US
335kimberleyp,,,Grimsby-United Kingdom,2015,33.0,51.0,5.0,4.0,4.0,9.0,22.0,14.0,[],GB
sm-in-to,,,Toronto -Ontario,2005,28.0,73.0,5.0,6.0,4.0,7.0,19.0,37.0,[],CA
comeflywithmeFlorida,man,50-64,Florida,2010,640.0,429.0,6.0,8.0,17.0,71.0,148.0,199.0,"['Foodie', 'Urban Explorer', 'Like a Local', 'History Buff']",US
boskindopreis,,,,2014,8.0,8.0,2.0,1.0,0.0,2.0,2.0,4.0,[],
ASinHONGKONG,man,50-64,Hong Kong-China,2014,21.0,70.0,5.0,2.0,8.0,16.0,21.0,23.0,[],CN
637vidae,,,,2016,7.0,30.0,4.0,1.0,0.0,6.0,9.0,15.0,[],
739kristinat,,,Iowa,2014,12.0,32.0,4.0,0.0,0.0,0.0,16.0,18.0,[],US
normap197,,,Plymouth-Minnesota,2013,24.0,52.0,5.0,1.0,1.0,5.0,19.0,27.0,[],US
Helene_Zia,,,Strasbourg-France,2018,,5.0,2.0,0.0,0.0,0.0,0.0,5.0,[],FR
AngeloPasto,,,Montreal-Canada,2011,109.0,90.0,5.0,0.0,3.0,10.0,36.0,42.0,[],CA
ezmmyi,,,,2018,2.0,7.0,2.0,0.0,0.0,0.0,0.0,7.0,[],
debwilltravel,woman,35-49,Saint Louis-Missouri,2010,25.0,44.0,5.0,0.0,0.0,2.0,18.0,27.0,[],US
911liza,Woman,,Los Angeles-California,2014,43.0,96.0,6.0,1.0,1.0,5.0,23.0,66.0,[],US
3waytieforlast,Man,,Portland-Oregon,2013,217.0,199.0,6.0,4.0,4.0,25.0,65.0,102.0,[],US
495drewj,,,Charlottesville-Virginia,2015,18.0,31.0,4.0,3.0,0.0,1.0,4.0,24.0,[],US
James_Photo_79,man,35-49,Smyrna-Georgia,2012,84.0,59.0,5.0,1.0,2.0,5.0,23.0,29.0,"['Foodie', 'Like a Local', 'History Buff', 'Thrill Seeker']",US
pnd5251,Man,,Adelaide-Australia,2018,21.0,65.0,5.0,1.0,5.0,4.0,11.0,44.0,[],AU
joannea344,,,Colville-Washington,2017,13.0,25.0,4.0,3.0,0.0,0.0,2.0,20.0,[],US
lhcyberdiva,woman,50-64,Chicago-Illinois,2014,75.0,49.0,5.0,1.0,1.0,2.0,6.0,40.0,[],US
carmelpwaters,woman,,Melton Mowbray-United Kingdom,2010,9.0,17.0,3.0,0.0,0.0,0.0,1.0,17.0,[],GB
176paulad,,,,2014,20.0,26.0,4.0,0.0,0.0,1.0,1.0,24.0,[],
Dmctimm,woman,50-64,WI,2008,144.0,194.0,6.0,0.0,2.0,16.0,56.0,122.0,[],US
jacquelineaN1910UH,,,,2018,3.0,4.0,1.0,0.0,0.0,1.0,0.0,3.0,[],
vrisi14,,,Athens-Greece,2016,6.0,13.0,3.0,0.0,0.0,0.0,3.0,10.0,[],GR
